,text,labels
906,[C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][N][C][Branch1][C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],0.0
2986,[C][=C][C][=Branch1][C][=O][O][C][C][O][C][C][O][C][C][O][C][C][O][C][=Branch1][C][=O][C][=C],0.0
4643,[O][=C][Branch2][Ring1][=Branch1][C][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][C][C][C][Ring1][Branch2],0.0
7177,[N][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N],1.0
444,[C][C][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
1346,[O][=S][=Branch1][C][=O][Branch1][C][O][N][C][C][C][C][C][C][Ring1][=Branch1],0.0
1054,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],0.0
5902,[C][C][O][C][=C][C][=C][C][Branch2][Branch1][N][N][C][=C][Branch2][Ring2][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][=Branch1][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][=N][C][C][Ring2][Ring1][Ring1][N][=C][Ring2][Ring1][#Branch2][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Ring2][Ring2][#Branch1],0.0
4992,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],0.0
5190,[C][C@][C][C@H1][Branch1][C][O][C@@][Branch1][C][F][C@@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Ring1][N][C][C@@H1][Ring2][Ring1][C][C][C@@H1][Branch1][C][O][C@][Ring2][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],1.0
2337,[C][C][=Branch1][C][=O][O][C@H1][C][C][C@@][Branch1][C][C][C][=Branch2][Ring1][Branch2][=C][C][C@H1][C@@H1][C][C][C][=Branch1][C][=O][C@@][Ring1][=Branch1][Branch1][C][C][C][C][C@@H1][Ring1][O][Ring1][S][C][Ring2][Ring1][Ring2],1.0
1265,[C][C][C][C][C][C][C][C][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],0.0
3743,[C][O][C][=C][C][=C][NH1][C][=C][Branch1][=Branch2][C][C][N][C][Branch1][C][C][=O][C][Ring1][O][=C][Ring1][#C],1.0
5748,[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1.0
7423,[C][=C][C][C][C][#N],0.0
6380,[C][C][N][C][C][N][Ring1][=Branch1],1.0
6690,[O][=C][Branch1][C][O-1][C][=C][C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][=C][C][=C][Ring2][Ring1][C][N+1][=Branch1][C][=O][O-1],1.0
4118,[C][C][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C@@H1][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
1123,[C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][N][C@H1][C][=C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O],1.0
4953,[C][C][C][C][S][C][C][C][C],0.0
5294,[C][C][Branch1][C][C][C][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],1.0
5677,[C][C][C][N][C][C][C],0.0
5760,[C][C][Branch1][C][Cl][Branch1][C][Cl][C][=Branch1][C][=O][O-1],0.0
1416,[C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
4658,[C][C][C][C][=Branch1][C][=O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O],0.0
7256,[C][C][C][C][C][C][C][C][O][C][Branch1][C][C][=O],0.0
2794,[O][=C][Branch1][C][O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#Branch2][Cl],0.0
2311,[C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1],0.0
7464,[O][=N][N][C][C][N][Branch1][Ring1][N][=O][C][C][Ring1][Branch2],0.0
7035,[C][C][C][C][N+1][Branch1][C][C][C][C][C][C][C][Ring1][#Branch1].[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][Branch1][C][F][Branch1][C][F][F],1.0
4506,[C][C][C][=Branch1][C][=O][O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@][Ring2][Ring1][C][Ring1][#C][C],1.0
3292,[C][C][N][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1][Ring1][#C],0.0
5614,[O][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],0.0
6422,[N][C][=Branch1][C][=O][C][C][C][C][C][C][C][S][S][Ring1][Branch1],1.0
535,[O][=C][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1],0.0
4423,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1][C].[O][=S][=Branch1][C][=O][Branch1][P][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],0.0
7328,[O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][C][N][C][C][C][=C][Ring1][#Branch1][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][Cl][C][=C][Ring2][Ring1][Ring2],1.0
3884,[O][=C][Branch1][C][O-1][C][=C][C][=C][C][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][C][=C][Ring1][=N][O][Ring1][S],1.0
3960,[C][=C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][C][=O][O][C][C][=C][C][Branch1][=Branch2][C][=Branch1][C][=O][O][C][C][=C][=C][Ring2][Ring1][C],0.0
4160,[C][C][=C][C][=C][C][=N][Ring1][=Branch1],0.0
3548,[C][O][C][C][C][O][C][C][C][O][C],0.0
5946,[C][O][C][C][Branch1][C][C][N],0.0
5962,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][P+1][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],0.0
4618,[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],1.0
7601,[C][C][C][C][C][C][C][C][C][C][C][Branch1][Ring1][C][O][C][C][C][C][C][C][C][C],0.0
7288,[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C@@H1][C][=C][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][N][Branch1][C][C][C][Ring1][P],1.0
6073,[C][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][NH1][C][Branch1][Branch2][C][=C][S][C][=N][Ring1][Branch1][=N][C][Ring1][#Branch2][=C][Ring1][=C],1.0
5226,[C][N][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0.0
1433,[O][=C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][Ring1][P],1.0
1745,[C][C][C][Branch1][Branch2][C][=C][N][=C][NH1][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C],0.0
7928,[O][=C][Branch1][Ring1][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],1.0
162,[C][C][=N][C][Branch1][C][C][=N][C][Branch2][Ring1][S][N][C][C@H1][Branch1][C][C][N][Branch1][S][C][=C][C][=N][C][Branch1][=Branch1][C@@H1][Branch1][C][C][O][=N][Ring1][=Branch2][C@H1][Branch1][C][C][C][Ring1][P][=N][Ring2][Ring1][Branch2],0.0
1689,[C][C][#C][C][C][Branch1][C][C][C@H1][Branch1][C][O][/C][=C][/C@@H1][C@H1][C][=C][C][=C][C][Branch1][=Branch2][C][C][C][C][=Branch1][C][=O][O-1][=C][Ring1][N][O][C@H1][Ring1][#C][C][C@H1][Ring2][Ring1][C][O],1.0
1030,[O][C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][O],1.0
1724,[C][O][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][O][C][Branch1][C][O][=C][Ring2][Ring1][C],1.0
6727,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O],1.0
1869,[C][=C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][Ring1][#Branch2][=S],0.0
1529,[C][C][Branch1][C][C][C@@H1][Branch1][C][O][C][C][C@@][Branch1][C][C][C@H1][Ring1][=Branch2][C][C][C@][Branch1][C][C][C@@H1][Ring1][Branch2][C][=Branch1][C][=O][C][=C][C@@H1][C][C@@][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][C@][Ring1][#Branch2][Branch1][C][C][C][C][C@][Ring1][#C][Ring2][Ring1][Branch1][C],0.0
2086,[C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][N][=O],0.0
3645,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],0.0
4022,[N][C][C][C][C][C][C][N],0.0
1145,[C][C][=C][Branch1][C][F][C][Branch1][N][N][C][C][N][C][Branch1][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring1][#Branch2][C][C][C][Ring1][Ring1],0.0
714,[C][C][=C][C][=C][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][N][C][C][C][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring2],1.0
3376,[N][=C][Branch1][C][N][N][C][C][C][C@H1][Branch2][Branch2][Ring2][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][C][S][S][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][Ring2][Branch1][C][C][=Branch1][C][=O][N][C][C][Branch1][C][N][=O],1.0
4989,[C][C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=O],1.0
232,[O][=C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][Ring2][Ring1][Ring1][=Ring1][#Branch2],1.0
5948,[C][O][C][=C][C][Branch2][Branch1][#C][/C][=C][/C][=Branch1][C][=O][O][C@H1][C][C][C@][C][C@][Ring1][Ring1][C][C][C@][Branch1][C][C][C@@H1][Branch1][=N][C@H1][Branch1][C][C][C][C][C][=C][Branch1][C][C][C][C][C][C@@][Ring1][=C][Branch1][C][C][C@@H1][Ring2][Ring1][Ring1][C][C][C@H1][Ring2][Ring1][Branch2][C][Ring2][Ring1][N][Branch1][C][C][C][=C][C][=C][Ring2][Ring2][=Branch2][O],0.0
1441,[O][C][C][C][C][C][O],1.0
327,[C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][/C][Branch1][C][N][=N][/N+1][=Branch1][C][=O][O-1],0.0
3435,[O][=S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
1024,[C][C][=C][C][=C][Branch2][Branch1][Ring2][N][N][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring1][Ring1][=Branch1][C][=C][Ring2][Ring2][=Branch1],0.0
3124,[C][C][C][C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][S][C][=Branch1][C][=O][C][Ring1][O],0.0
3871,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C][Ring2][Ring1][C][=O],1.0
5886,[N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],1.0
7722,[C][=C][C@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][=Branch2][O][C][=Branch1][C][=O][O][C][C][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],1.0
2584,[C][O][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][=O],0.0
2235,[C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=C][S][C][Branch1][Ring2][N][C][=O][=N][Ring1][Branch2],0.0
1856,[C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][Ring1][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0.0
6688,[C][C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O],1.0
7374,[O][C@@H1][Branch2][Ring2][Ring2][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Ring2][Ring1][C][Ring1][#Branch2][C@H1][C][C][C][C][N][Ring1][=Branch1],1.0
5911,[C][C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch1][#Branch1][N][C][Branch1][C][C][C][=N][Ring1][O],0.0
235,[O][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Ring1][Ring1][Branch2],1.0
861,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][S],0.0
3746,[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1.0
4122,[C][=C][C][C@@H1][C@H1][Branch2][Ring1][C][C][C][C@][Branch1][C][C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][O][Ring1][#Branch1][C@@][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][Ring2][Ring1][Branch1][Ring1][Branch2],1.0
3273,[C][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2],1.0
1285,[O][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N],0.0
3257,[C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2][O],1.0
7700,[C][C][C@H1][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][C@@H1][Branch2][Ring1][#Branch1][O][C@H1][C][C@@][Branch1][C][C][Branch1][Ring1][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][C][O][Ring1][O][C@H1][Branch1][C][C][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][C][C][C][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@H1][Ring1][#Branch2][O][C@][Branch1][C][C][Branch1][C][O][C][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@][Ring2][Ring2][#C][Branch1][C][C][O],1.0
5752,[N][C][=Branch1][C][=S][N][C][Branch1][C][N][=S],0.0
3192,[C][#C][C@][Branch1][N][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@@][Ring1][#C][Ring2][Ring1][O][C],1.0
196,[C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][C][O][Ring1][#C],1.0
5173,[C][=C][C][=Branch1][C][=O][C][C][C][C][C],0.0
2657,[C][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F],1.0
6714,[O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.0
2276,[C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],1.0
5271,[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@@H1][C][C@H1][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C@@H1][Branch1][C][O][C][C@@][Ring2][Ring1][C][Ring2][Ring1][=Branch1][C],1.0
7717,[C][C][Branch1][C][C][C][N][C][=N][C][=C][Branch1][C][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][O][Ring1][=C],0.0
2172,[C][C][C][C][O][C][C][O][C][=Branch1][C][=O][C][O][C][=N][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],0.0
7656,[C][C@][C][C][C@H1][C@@H1][Branch2][Ring1][Ring2][C][C][C][=C][Branch1][C][O][C][=Branch1][C][=O][C][C][C@@][Ring1][Branch2][Ring1][N][C][C@@H1][Ring1][P][C][C][C][Ring2][Ring1][Ring2][=O],1.0
2453,[C][C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][=N][N+1][=Branch1][C][=O][O-1],1.0
2865,[C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][Ring1][P],1.0
