text,labels
[C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1],0
[O][=N][N][C][C][N][Branch1][Ring1][N][=O][C][C][Ring1][Branch2],0
[C][C][C][C][N+1][Branch1][C][C][C][C][C][C][C][Ring1][#Branch1].[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][Branch1][C][F][Branch1][C][F][F],1
[C][C][C][=Branch1][C][=O][O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@][Ring2][Ring1][C][Ring1][#C][C],1
[C][C][N][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][N][=C][Ring1][#Branch1][Ring1][#C],0
[O][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[N][C][=Branch1][C][=O][C][C][C][C][C][C][C][S][S][Ring1][Branch1],1
[O][=C][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1],0
[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1][C].[O][=S][=Branch1][C][=O][Branch1][P][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],0
[O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][C][N][C][C][C][=C][Ring1][#Branch1][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][Cl][C][=C][Ring2][Ring1][Ring2],1
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][C][=C][Ring1][=N][O][Ring1][S],1
[C][=C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][C][=O][O][C][C][=C][C][Branch1][=Branch2][C][=Branch1][C][=O][O][C][C][=C][=C][Ring2][Ring1][C],0
[C][C][=C][C][=C][C][=N][Ring1][=Branch1],0
[C][O][C][C][C][O][C][C][C][O][C],0
[C][O][C][C][Branch1][C][C][N],0
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][P+1][Branch1][#Branch1][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][C][C][C][C][C][C],0
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],1
[C][C][C][C][C][C][C][C][C][C][C][Branch1][Ring1][C][O][C][C][C][C][C][C][C][C],0
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C@@H1][C][=C][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][N][Branch1][C][C][C][Ring1][P],1
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][NH1][C][Branch1][Branch2][C][=C][S][C][=N][Ring1][Branch1][=N][C][Ring1][#Branch2][=C][Ring1][=C],1
[C][N][C][C][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0
[O][=C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][Ring1][P],1
[C][C][C][Branch1][Branch2][C][=C][N][=C][NH1][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C],0
[O][=C][Branch1][Ring1][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][=N][C][Branch1][C][C][=N][C][Branch2][Ring1][S][N][C][C@H1][Branch1][C][C][N][Branch1][S][C][=C][C][=N][C][Branch1][=Branch1][C@@H1][Branch1][C][C][O][=N][Ring1][=Branch2][C@H1][Branch1][C][C][C][Ring1][P][=N][Ring2][Ring1][Branch2],0
[C][C][#C][C][C][Branch1][C][C][C@H1][Branch1][C][O][/C][=C][/C@@H1][C@H1][C][=C][C][=C][C][Branch1][=Branch2][C][C][C][C][=Branch1][C][=O][O-1][=C][Ring1][N][O][C@H1][Ring1][#C][C][C@H1][Ring2][Ring1][C][O],1
[O][C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][O],1
[C][O][C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][O][C][Branch1][C][O][=C][Ring2][Ring1][C],1
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O],1
[C][=C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][Ring1][#Branch2][=S],0
[C][C][Branch1][C][C][C@@H1][Branch1][C][O][C][C][C@@][Branch1][C][C][C@H1][Ring1][=Branch2][C][C][C@][Branch1][C][C][C@@H1][Ring1][Branch2][C][=Branch1][C][=O][C][=C][C@@H1][C][C@@][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][C@][Ring1][#Branch2][Branch1][C][C][C][C][C@][Ring1][#C][Ring2][Ring1][Branch1][C],0
[C][C][Branch1][C][C][Branch1][C][C][N][C][Branch1][C][N][=O],0
[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],0
[N][C][C][C][C][C][C][N],0
[C][C][=C][Branch1][C][F][C][Branch1][N][N][C][C][N][C][Branch1][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][=C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring1][#Branch2][C][C][C][Ring1][Ring1],0
[C][C][=C][C][=C][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][N][N][C][C][C][C][C][C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring2],1
[N][=C][Branch1][C][N][N][C][C][C][C@H1][Branch2][Branch2][Ring2][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][C][S][S][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][N][C@@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][Ring2][Branch1][C][C][=Branch1][C][=O][N][C][C][Branch1][C][N][=O],1
[C][C][=C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=O],1
[O][=C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][Ring2][Ring1][Ring1][=Ring1][#Branch2],1
[C][O][C][=C][C][Branch2][Branch1][#C][/C][=C][/C][=Branch1][C][=O][O][C@H1][C][C][C@][C][C@][Ring1][Ring1][C][C][C@][Branch1][C][C][C@@H1][Branch1][=N][C@H1][Branch1][C][C][C][C][C][=C][Branch1][C][C][C][C][C][C@@][Ring1][=C][Branch1][C][C][C@@H1][Ring2][Ring1][Ring1][C][C][C@H1][Ring2][Ring1][Branch2][C][Ring2][Ring1][N][Branch1][C][C][C][=C][C][=C][Ring2][Ring2][=Branch2][O],0
[O][C][C][C][C][C][O],1
[C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][/C][Branch1][C][N][=N][/N+1][=Branch1][C][=O][O-1],0
[O][=S][=Branch1][C][=O][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][C][=C][C][=C][Branch2][Branch1][Ring2][N][N][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring1][Ring1][=Branch1][C][=C][Ring2][Ring2][=Branch1],0
[C][C][C][C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][S][C][=Branch1][C][=O][C][Ring1][O],0
[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C][Ring2][Ring1][C][=O],1
[N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],1
[C][=C][C@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][=Branch2][O][C][=Branch1][C][=O][O][C][C][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2],1
[C][O][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][=O],0
[C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=C][S][C][Branch1][Ring2][N][C][=O][=N][Ring1][Branch2],0
[C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][Ring1][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[C][C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O],1
[O][C@@H1][Branch2][Ring2][Ring2][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Ring2][Ring1][C][Ring1][#Branch2][C@H1][C][C][C][C][N][Ring1][=Branch1],1
[C][C][N][C][=N][C][Branch1][C][Cl][=N][C][Branch1][#Branch1][N][C][Branch1][C][C][C][=N][Ring1][O],0
[O][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Ring1][Ring1][Branch2],1
[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][S],0
[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],1
[C][=C][C][C@@H1][C@H1][Branch2][Ring1][C][C][C][C@][Branch1][C][C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][O][Ring1][#Branch1][C@@][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][Ring2][Ring1][Branch1][Ring1][Branch2],1
[C][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2],1
[O][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N],0
[C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2][O],1
[C][C][C@H1][O][C][=Branch1][C][=O][C@H1][Branch1][C][C][C@@H1][Branch2][Ring1][#Branch1][O][C@H1][C][C@@][Branch1][C][C][Branch1][Ring1][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][C][O][Ring1][O][C@H1][Branch1][C][C][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][C][C][C][C@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@H1][Ring1][#Branch2][O][C@][Branch1][C][C][Branch1][C][O][C][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@][Ring2][Ring2][#C][Branch1][C][C][O],1
[N][C][=Branch1][C][=S][N][C][Branch1][C][N][=S],0
[C][#C][C@][Branch1][N][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@@][Ring1][#C][Ring2][Ring1][O][C],1
[C][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][C][O][Ring1][#C],1
[C][=C][C][=Branch1][C][=O][C][C][C][C][C],0
[C][C][C][C][N+1][=C][C][=C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F],1
[O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],1
[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@@H1][C][C@H1][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C@@H1][Branch1][C][O][C][C@@][Ring2][Ring1][C][Ring2][Ring1][=Branch1][C],1
[C][C][Branch1][C][C][C][N][C][=N][C][=C][Branch1][C][N][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][O][Ring1][=C],0
[C][C][C][C][O][C][C][O][C][=Branch1][C][=O][C][O][C][=N][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],0
[C][C@][C][C][C@H1][C@@H1][Branch2][Ring1][Ring2][C][C][C][=C][Branch1][C][O][C][=Branch1][C][=O][C][C][C@@][Ring1][Branch2][Ring1][N][C][C@@H1][Ring1][P][C][C][C][Ring2][Ring1][Ring2][=O],1
[C][C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][=N][N+1][=Branch1][C][=O][O-1],1
[C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][Ring1][P],1
[C][C][C][=Branch1][C][=O][O][C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C][C][Si][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],1
[C][C][C][C][C][C][C][Branch1][Ring1][C][=O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[Cl][C][/C][=C][/C][Cl],0
[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[C][C][=C][C][=C][Branch1][N][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][=C][Ring1][=N],0
[C][C][C][C][C][C][N][Ring1][=Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[Br][C][=C][C][=C][Branch1][=C][O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][Br][C][Branch1][C][Br][=C][Ring1][S],1
